isin,feature_date,nav,return_1d,return_7d,return_30d,ma_7,ma_30,ma_90,volatility_30,momentum,target_nav_1d,target_nav_30d,target_nav_90d
LU0109392836,2025-10-07,61.62,-0.01218339,0.00867572,0.04158215,61.592857,60.062333,,0.00864572,,62.81,,
LU0109392836,2025-10-08,62.81,0.01931191,0.02096879,0.05901197,61.858571,60.248,,0.00909506,,62.88,,
LU0109392836,2025-10-09,62.88,0.00111447,0.01599612,0.05045105,62.114286,60.420333,,0.00905231,,60.31,,
LU0109392836,2025-10-10,60.31,-0.0408715,-0.02252836,0.00399534,61.941429,60.474667,,0.01164833,,62.19,,
LU0109392836,2025-10-13,62.19,0.03117228,-0.00304585,0.03996656,61.984286,60.624667,,0.01236428,,61.22,,
LU0109392836,2025-10-14,61.22,-0.01559736,-0.0064914,0.01023102,61.915714,60.759,,0.01263412,,61.71,,
LU0109392836,2025-10-15,61.71,0.00800392,-0.01751313,0.02135055,61.82,60.899667,,0.01266484,,61.74,,
LU0109392836,2025-10-16,61.74,0.00048614,-0.01812977,0.02677532,61.837143,61.027333,,0.01263672,,61.59,,
LU0109392836,2025-10-17,61.59,-0.00242954,0.02122368,0.00620814,61.662857,61.127,,0.01253168,,62.33,,
LU0109392836,2025-10-20,62.33,0.01201494,0.00225117,0.01086604,61.584286,61.232667,,0.01259044,,62.24,,
LU0109392836,2025-10-21,62.24,-0.00144393,0.01666122,0.001287,61.86,61.330333,,0.01260317,,61.45,,
LU0109392836,2025-10-22,61.45,-0.0126928,-0.00421326,-0.00032536,61.754286,61.383333,,0.01277811,,62.35,,
LU0109392836,2025-10-23,62.35,0.01464605,0.00988014,0.02179613,61.915714,61.459333,,0.01300662,,63.09,,
LU0109392836,2025-10-24,63.09,0.01186848,0.0243546,0.04023083,62.112857,61.569,,0.01309383,,64.17,,
LU0109392836,2025-10-27,64.17,0.0171184,0.0295203,0.05734058,62.46,61.688,,0.01321999,,64.63,,
LU0109392836,2025-10-28,64.63,0.00716846,0.03839974,0.06037736,62.894286,61.828333,,0.01321827,,65.06,,
LU0109392836,2025-10-29,65.06,0.00665326,0.05874695,0.06498609,63.284286,61.992667,,0.01317198,,63.94,,
LU0109392836,2025-10-30,63.94,-0.01721488,0.0255012,0.0393368,63.527143,62.083667,,0.01332756,,64.05,,
LU0109392836,2025-10-31,64.05,0.00172036,0.01521636,0.03490063,63.898571,62.163333,,0.01328403,,64.09,,
LU0109392836,2025-11-03,64.09,0.00062451,-0.00124669,0.03873582,64.147143,62.227667,,0.01322504,,62.34,,
LU0109392836,2025-11-04,62.34,-0.02730535,-0.03543246,-0.00064123,64.04,62.256667,,0.0140197,,62.39,,
LU0109392836,2025-11-05,62.39,0.00080205,-0.04103904,0.01249594,63.785714,62.302333,,0.01394297,,61.43,,
LU0109392836,2025-11-06,61.43,-0.01538708,-0.03925555,-0.02197102,63.328571,62.328333,,0.01419498,,61.2,,
LU0109392836,2025-11-07,61.2,-0.0037441,-0.04449649,-0.02671756,62.777143,62.345333,,0.0142156,,62.62,,
LU0109392836,2025-11-10,62.62,0.02320261,-0.0229365,0.03830211,62.588571,62.401,,0.01478307,,62.03,,
LU0109392836,2025-11-11,62.03,-0.00942191,-0.00497273,-0.00257276,62.3,62.432333,,0.01489832,,62.02,,
LU0109392836,2025-11-12,62.02,-0.00016121,-0.00593044,0.01306762,62.004286,62.449,,0.01485091,,60.35,,
LU0109392836,2025-11-13,60.35,-0.0269268,-0.01758099,-0.02203857,61.72,62.397667,,0.01559303,,60.58,,
LU0109392836,2025-11-14,60.58,0.0038111,-0.01013072,-0.01878847,61.461429,62.360333,,0.01560734,,59.82,,
LU0109392836,2025-11-17,59.82,-0.01254539,-0.04471415,-0.02873843,61.231429,62.275,,0.01560137,,58.96,,
LU0109392836,2025-11-18,58.96,-0.01437646,-0.04949218,-0.05406706,60.911429,62.186333,,0.01565736,,59.46,,
LU0109392836,2025-11-19,59.46,0.00848033,-0.04127701,-0.04466581,60.46,62.074667,,0.01529757,,57.63,,
LU0109392836,2025-11-20,57.63,-0.03077699,-0.04507042,-0.06216436,59.831429,61.899667,,0.01614891,,57.57,,
LU0109392836,2025-11-21,57.57,-0.00104112,-0.04968637,-0.07666399,59.195714,61.808333,,0.01451673,,59.3,,
LU0109392836,2025-11-24,59.3,0.03005037,-0.00869274,-0.06007291,59.045714,61.712,,0.01443387,,59.65,,
LU0109392836,2025-11-25,59.65,0.00590219,0.01170285,-0.0704379,58.912857,61.659667,,0.0142477,,60.36,,
LU0109392836,2025-11-26,60.36,0.01190277,0.01513623,-0.06606839,58.99,61.614667,,0.01434454,,60.94,,
LU0109392836,2025-11-28,60.94,0.00960901,0.05743536,-0.06332616,59.272857,61.588,,0.01446128,,60.63,,
LU0109392836,2025-12-01,60.63,-0.00508697,0.05315268,-0.05176728,59.44,61.556,,0.01448199,,61.31,,
LU0109392836,2025-12-02,61.31,0.01121557,0.03389545,-0.04277908,59.965714,61.522,,0.01445981,,61.35,,
LU0109392836,2025-12-03,61.35,0.00065242,0.02849958,-0.04275238,60.505714,61.492333,,0.01445988,,61.4,,
LU0109392836,2025-12-04,61.4,0.000815,0.01722995,-0.0150786,60.805714,61.490667,,0.01427848,,61.75,,
LU0109392836,2025-12-05,61.75,0.00570033,0.01329176,-0.01025805,61.105714,61.470667,,0.01406286,,62.23,,
LU0109392836,2025-12-08,62.23,0.00777328,0.02638958,0.01302295,61.372857,61.442,,0.01396435,,62.5,,
LU0109392836,2025-12-09,62.5,0.00433874,0.01940956,0.02124183,61.595714,61.386333,,0.01361524,,62.74,,
LU0109392836,2025-12-10,62.74,0.00384,0.02265689,0.00191632,61.897143,61.323333,,0.01356344,,62.41,,
LU0109392836,2025-12-11,62.41,-0.0052598,0.01644951,0.00612607,62.054286,61.235,,0.01351088,,60.56,,
LU0109392836,2025-12-12,60.56,-0.02964269,-0.01927126,-0.02354079,61.941429,61.122333,,0.01416728,,59.68,,
LU0109392836,2025-12-15,59.68,-0.01453104,-0.04097702,-0.01110191,61.695714,60.976667,,0.01433554,,59.79,,
LU0109392836,2025-12-16,59.79,0.00184316,-0.04336,-0.01304061,61.415714,60.833333,,0.01434535,,58.45,,
LU0109392836,2025-12-17,58.45,-0.02241177,-0.06837743,-0.02290204,60.875714,60.703667,,0.0140845,,59.37,,
LU0109392836,2025-12-18,59.37,0.01573995,-0.04871014,0.00695387,60.428571,60.603,,0.01443604,,60.39,,
LU0109392836,2025-12-19,60.39,0.01718039,-0.00280713,0.01564077,60.092857,60.568333,,0.01457835,,60.87,,
LU0109392836,2025-12-22,60.87,0.00794834,0.01993968,0.05622072,59.872857,60.557333,,0.01464157,,61.23,,
LU0109392836,2025-12-23,61.23,0.00591424,0.0240843,0.06357478,59.968571,60.511,,0.01404209,,61.31,,
LU0109392836,2025-12-24,61.31,0.00130655,0.04893071,0.03389545,60.201429,60.487,,0.01395042,,61.63,,
LU0109392836,2025-12-26,61.63,0.00521938,0.03806636,0.03319363,60.464286,60.474,,0.01398549,,61.37,,
LU0109392836,2025-12-29,61.37,-0.00421872,0.01622785,0.01673294,60.881429,60.508,,0.01310019,,61.25,,
LU0109392836,2025-12-30,61.25,-0.00195535,0.00624281,0.00508697,61.15,60.530333,,0.01309463,,60.78,,
LU0109392836,2025-12-31,60.78,-0.00767347,-0.00734934,0.00247402,61.205714,60.562333,,0.01296196,,61.18,,
LU0109392836,2026-01-02,61.18,,,,,,,,,61.62,,
LU0109392836,2026-01-05,61.62,0.00719189,,,,,,,,62.29,,
LU0109392836,2026-01-06,62.29,0.01087309,,,,,,,,62.19,,
LU0109392836,2026-01-07,62.19,-0.00160539,,,,,,,,61.13,,
LU0109392836,2026-01-08,61.13,-0.01704454,,,,,,,,61.79,,
LU0109392836,2026-01-09,61.79,0.01079666,0.00997058,,,,,,,62.21,,
LU0109392836,2026-01-12,62.21,0.00679722,0.00957481,,61.772857,,,,,62.04,,
LU0109392836,2026-01-13,62.04,-0.00273268,-0.00401349,,61.895714,,,,,60.97,,
LU0109392836,2026-01-14,60.97,-0.01724694,-0.0196173,,61.802857,,,,,61.57,,
LU0109392836,2026-01-15,61.57,0.00984091,0.00719778,,61.7,,,,,61.77,,
LU0109392836,2026-01-16,61.77,0.00324834,-0.00032368,,61.64,,,,,60.08,,
LU0109392836,2026-01-20,60.08,-0.02735956,-0.03423887,,61.49,,,,,60.68,,
LU0109392836,2026-01-21,60.68,0.00998668,-0.02192134,,61.331429,,,,,61.34,,
LU0109392836,2026-01-22,61.34,0.01087673,0.00606856,,61.207143,,,,,61.56,,
LU0109392836,2026-01-23,61.56,0.00358657,-0.00016242,,61.138571,,,,,62.05,,
LU0109392836,2026-01-26,62.05,0.00795971,0.00453294,,61.292857,,,,,62.96,,
LU0109392836,2026-01-27,62.96,0.01466559,0.04793609,,61.491429,,,,,63.09,,
LU0109392836,2026-01-28,63.09,0.0020648,0.03971655,,61.68,,,,,62.16,,
LU0109392836,2026-01-29,62.16,-0.01474085,0.01336811,,61.977143,,,,,60.81,,
LU0109392836,2026-01-30,60.81,-0.02171815,-0.01218324,,61.995714,,,,,60.95,,
LU0109392836,2026-02-02,60.95,0.00230225,-0.01772764,,61.94,,,,,59.33,,
LU0109392836,2026-02-03,59.33,-0.02657916,-0.05765565,-0.03023864,61.621429,,,,,57.6,,
LU0109392836,2026-02-04,57.6,-0.02915894,-0.08701854,-0.06523856,60.985714,,,,,56.84,,
LU0109392836,2026-02-05,56.84,-0.01319444,-0.08558559,-0.08749398,60.111429,,,,,59.01,,
LU0109392836,2026-02-06,59.01,0.03817734,-0.02960039,-0.05113362,59.528571,,,,,60.14,,
LU0109392836,2026-02-09,60.14,0.0191493,-0.01328958,-0.01619499,59.24,,,,,60.06,,
LU0109392836,2026-02-10,60.06,-0.00133023,0.01230406,-0.02799806,59.132857,,,,,60.31,,
LU0109392836,2026-02-11,60.31,0.0041625,0.04704861,-0.03054171,59.041429,,,,,58.84,,
LU0109392836,2026-02-12,58.84,-0.02437407,0.03518649,-0.05157963,58.971429,,,,,59.13,,
LU0109392836,2026-02-13,59.13,0.00492862,0.00203355,-0.03017878,59.19,60.856667,,,,59.04,,
LU0109392836,2026-02-17,59.04,-0.00152207,-0.01829066,-0.04109144,59.504286,60.785333,,0.01544367,,59.68,,
LU0109392836,2026-02-18,59.68,0.01084011,-0.00632701,-0.0338352,59.6,60.720667,,0.01552239,,59.65,,
LU0109392836,2026-02-19,59.65,-0.00050268,-0.01094346,-0.00715712,59.53,60.632667,,0.01536722,,59.96,,
LU0109392836,2026-02-20,59.96,0.00519698,0.01903467,-0.01186552,59.515714,60.558333,,0.01541152,,58.84,,
LU0109392836,2026-02-23,58.84,-0.01867912,-0.00490445,-0.04075644,59.305714,60.482,,0.01547058,,59.61,,
LU0109392836,2026-02-24,59.61,0.01308634,0.00965447,-0.03167641,59.415714,60.409333,,0.01553486,,60.82,,
LU0109392836,2026-02-25,60.82,0.02029861,0.01910188,-0.01982272,59.657143,60.363,,0.01594653,,59.78,,
LU0109392836,2026-02-26,59.78,-0.01709964,0.00217938,-0.05050826,59.762857,60.287667,,0.01621607,,59.18,,
LU0109392836,2026-02-27,59.18,-0.0100368,-0.01300867,-0.06197496,59.691429,60.228,,0.01602737,,59.52,,
LU0109392836,2026-03-02,59.52,0.00574518,0.01155676,-0.04247104,59.672857,60.159667,,0.01595288,,58.23,,
LU0109392836,2026-03-03,58.23,-0.02167339,-0.02315048,-0.04242723,59.425714,60.041667,,0.01635383,,59.16,,
LU0109392836,2026-03-04,59.16,0.01597115,-0.02729365,-0.02936833,59.471429,60.011,,0.01594375,,59.36,,
LU0109392836,2026-03-05,59.36,0.00338066,-0.00702576,0.00050565,59.435714,59.967,,0.01584426,,58.13,,
LU0109392836,2026-03-06,58.13,-0.02072102,-0.01774248,0.00920139,59.051429,59.86,,0.01609412,,59.37,,
LU0109392836,2026-03-09,59.37,0.0213315,-0.00252016,0.04451091,58.992857,59.787,,0.0165944,,59.43,,
LU0109392836,2026-03-10,59.43,0.00101061,0.02060793,0.00711744,59.028571,59.699667,,0.01651507,,59.65,,
LU0109392836,2026-03-11,59.65,0.00370183,0.00828262,-0.00814766,59.047143,59.589333,,0.0162773,,58.27,,
LU0109392836,2026-03-12,58.27,-0.02313495,-0.01836253,-0.02980353,59.052857,59.428667,,0.01670763,,57.84,,
LU0109392836,2026-03-13,57.84,-0.00737944,-0.00498882,-0.04095507,58.864286,59.284667,,0.0165797,,58.72,,
LU0109392836,2026-03-16,58.72,0.01521438,-0.01094829,-0.00203943,58.772857,59.215,,0.01645997,,59.0,,
LU0109392836,2026-03-17,59.0,0.00476839,-0.0072354,-0.00219855,58.897143,59.15,,0.01648255,,58.42,,
LU0109392836,2026-03-18,58.42,-0.00983051,-0.02062028,-0.01050136,58.761429,59.119667,,0.01587745,,58.47,,
LU0109392836,2026-03-19,58.47,0.00085587,0.0034323,-0.0202748,58.624286,59.148667,,0.01495172,,56.98,,
LU0109392836,2026-03-20,56.98,-0.02548315,-0.0148686,-0.04476111,58.242857,59.153333,,0.01548323,,58.07,,
LU0109392836,2026-03-23,58.07,0.01912952,-0.01106948,-0.03152101,58.214286,59.122,,0.01425474,,57.56,,
LU0109392836,2026-03-24,57.56,-0.0087825,-0.02440678,-0.02175391,58.174286,59.036,,0.01385179,,57.89,,
LU0109392836,2026-03-25,57.89,0.00573315,-0.00907224,-0.02885422,58.055714,58.963667,,0.01391027,,55.79,,
LU0109392836,2026-03-26,55.79,-0.0362757,-0.04583547,-0.08270306,57.597143,58.813,,0.015229,,54.58,,
LU0109392836,2026-03-27,54.58,-0.02168847,-0.04212004,-0.08698561,57.048571,58.671,,0.01510742,,53.62,,
LU0109392836,2026-03-30,53.62,-0.01758886,-0.07663165,-0.09395066,56.355714,58.487333,,0.01528364,,56.11,,
LU0109392836,2026-03-31,56.11,0.0464379,-0.0251911,-0.05729167,56.231429,58.389667,,0.01768819,,56.98,,
LU0109392836,2026-04-01,56.98,0.01550526,-0.01571947,-0.0214666,56.075714,58.299667,,0.01781638,,57.04,,
LU0109392836,2026-04-02,57.04,0.001053,0.02240545,-0.03583502,56.001429,58.212667,,0.01782113,,57.32,,
LU0109392836,2026-04-06,57.32,0.00490884,0.05020154,-0.03436658,55.92,58.124667,,0.01781769,,57.76,,
LU0109392836,2026-04-07,57.76,0.0076762,0.07721,-0.00636504,56.201429,58.088667,,0.01758945,,60.02,,
LU0109392836,2026-04-08,60.02,0.03912742,0.06968455,0.01094829,56.978571,58.102333,,0.01883514,,60.05,,
LU0109392836,2026-04-09,60.05,0.00049983,0.05387855,0.01043244,57.897143,58.076667,,0.01846985,,60.41,,
LU0109392836,2026-04-10,60.41,0.005995,0.05908135,0.01274099,58.511429,58.097667,,0.01823147,,61.58,,
LU0109392836,2026-04-13,61.58,0.01936765,0.07431961,0.05680453,59.168571,58.177667,,0.01842721,,62.77,,
LU0109392836,2026-04-14,62.77,0.01932446,0.08673823,0.08523513,59.987143,58.286,,0.01869093,,63.76,,
LU0109392836,2026-04-15,63.76,0.01577187,0.06231256,0.08583106,60.907143,58.470333,,0.01831842,,64.21,,
LU0109392836,2026-04-16,64.21,0.00705772,0.0692756,0.08830508,61.828571,58.638667,,0.01818057,,65.31,,
LU0109392836,2026-04-17,65.31,0.01713129,0.0811124,0.11793906,62.584286,58.837,,0.0183594,,65.41,,
LU0109392836,2026-04-20,65.41,0.00153116,0.06219552,0.11869335,63.35,59.079667,,0.017813,,65.36,,
LU0109392836,2026-04-21,65.36,-0.00076441,0.04126175,0.14706915,64.057143,59.279333,,0.01753996,,67.08,,
LU0109392836,2026-04-22,67.08,0.02631579,0.05207026,0.15515757,64.842857,59.534333,,0.01800878,,66.01,,
LU0109392836,2026-04-23,66.01,-0.0159511,0.02803302,0.14680334,65.305714,59.746333,,0.01836905,,67.71,,
LU0109392836,2026-04-24,67.71,0.02575367,0.03674782,0.16963206,65.87,60.061,,0.01809588,,67.6,,
LU0109392836,2026-04-27,67.6,-0.00162458,0.03348112,0.21168668,66.354286,60.386333,,0.01799193,,66.0,,
LU0109392836,2026-04-28,66.0,-0.02366864,0.00979192,0.20923415,66.452857,60.629,,0.0186256,,66.27,,
LU0109392836,2026-04-29,66.27,0.00409091,-0.01207513,0.23591943,66.575714,60.871333,,0.01862516,,66.88,,
LU0109392836,2026-04-30,66.88,0.00920477,0.01317982,0.19194439,66.792857,61.153333,,0.01846491,,67.56,,
LU0109392836,2026-05-01,67.56,0.01016746,-0.00221533,0.18567919,66.861429,61.456333,,0.01847614,,67.75,,
LU0109392836,2026-05-04,67.75,0.00281231,0.00221893,0.18776297,67.11,61.815333,,0.01759734,,68.63,,
LU0109392836,2026-05-05,68.63,0.01298893,0.03984848,0.19731333,67.241429,62.167333,,0.01747806,,70.48,,
LU0109392836,2026-05-06,70.48,0.02695614,0.06352799,0.22022161,67.652857,62.598,,0.01766479,,70.35,,
LU0109392836,2026-05-07,70.35,-0.00184449,0.05188397,0.1721093,68.274286,63.013333,,0.01773411,,71.87,,
LU0109392836,2026-05-08,71.87,0.02160625,0.06379515,0.19683597,69.074286,63.549333,,0.01602226,,72.43,,
LU0109392836,2026-05-11,72.43,0.00779185,0.06907749,0.19897368,69.867143,64.144333,,0.01500597,,71.32,,
LU0109392836,2026-05-12,71.32,-0.01532514,0.03919569,0.15816824,70.404286,64.734333,,0.01487423,,72.62,,
LU0109392836,2026-05-13,72.62,0.01822771,0.03036322,0.1569221,71.1,65.284667,,0.01333133,,73.62,,
LU0109392836,2026-05-14,73.62,0.01377031,0.04648188,0.15464241,71.812857,65.839333,,0.01330552,,71.7,,
LU0109392836,2026-05-15,71.7,-0.02607987,-0.00236538,0.1166485,71.987143,66.328,,0.01464677,,71.02,,
LU0109392836,2026-05-18,71.02,-0.00948396,-0.01946707,0.08742918,72.082857,66.784667,,0.0149646,,70.43,,
LU0109392836,2026-05-19,70.43,-0.00830752,-0.01247897,0.07674667,71.877143,67.207,,0.01522334,,72.24,,
LU0109392836,2026-05-20,72.24,0.02569928,-0.00523272,0.10526316,71.85,67.614333,,0.01444209,,73.02,,
LU0109392836,2026-05-21,73.02,0.01079734,-0.00814996,0.08855098,72.092857,68.046667,,0.0144225,,73.53,,
LU0109392836,2026-05-22,73.53,0.00698439,0.02552301,0.11392213,72.222857,68.484,,0.01442211,,75.58,,
LU0109392836,2026-05-26,75.58,0.02787978,0.06420727,0.11623099,72.502857,68.950667,,0.01474903,,75.46,,
